"Iteracja","Best Result","Worst Result","Average Cost","Standard Deviation"
"877","329","701","512","0"
"878","329","701","512","0"
"879","329","701","512","0"
"880","329","701","512","0"
"881","329","701","512","0"
"882","329","701","512","0"
"883","329","701","512","0"
"884","329","701","512","0"
"885","329","701","512","0"
"886","329","701","512","0"
"887","329","701","512","0"
"888","329","701","512","0"
"889","329","701","512","0"
"890","329","701","512","0"
"891","329","701","512","0"
"892","329","701","512","0"
"893","329","701","512","0"
"894","329","701","512","0"
"895","329","701","512","0"
"896","329","701","512","0"
"897","329","701","512","0"
"898","329","701","512","0"
"899","329","701","512","0"
"900","329","701","512","0"
"901","329","701","512","0"
"902","329","701","512","0"
"903","329","701","512","0"
"904","329","701","512","0"
"905","329","701","512","0"
"906","329","701","512","0"
"907","329","701","512","0"
"908","329","701","512","0"
"909","329","701","512","0"
"910","329","701","512","0"
"911","329","701","512","0"
"912","329","701","512","0"
"913","329","701","512","0"
"914","329","701","512","0"
"915","329","701","512","0"
"916","329","701","512","0"
"917","329","701","512","0"
"918","329","701","512","0"
"919","329","701","512","0"
"920","329","701","512","0"
"921","329","701","512","0"
"922","329","701","512","0"
"923","329","701","512","0"
"924","329","701","512","0"
"925","329","701","512","0"
"926","329","701","512","0"
"927","329","701","512","0"
"928","329","701","512","0"
"929","329","701","512","0"
"930","329","701","512","0"
"931","329","701","512","0"
"932","329","701","512","0"
"933","329","701","512","0"
"934","329","701","512","0"
"935","329","701","512","0"
"936","329","701","512","0"
"937","329","701","512","0"
"938","329","701","512","0"
"939","329","701","512","0"
"940","329","701","512","0"
"941","329","701","512","0"
"942","329","701","512","0"
"943","329","701","512","0"
"944","329","701","512","0"
"945","329","701","512","0"
"946","329","701","512","0"
"947","329","701","512","0"
"948","329","701","512","0"
"949","329","701","512","0"
"950","329","701","512","0"
"951","329","701","512","0"
"952","329","701","512","0"
"953","329","701","512","0"
"954","329","701","512","0"
"955","329","701","512","0"
"956","329","701","512","0"
"957","329","701","512","0"
"958","329","701","512","0"
"959","329","701","512","0"
"960","329","701","512","0"
"961","329","701","512","0"
"962","329","701","512","0"
"963","329","701","512","0"
"964","329","701","512","0"
"965","329","701","512","0"
"966","329","701","511","0"
"967","329","701","511","0"
"968","329","701","512","0"
"969","329","701","511","0"
"970","329","701","511","0"
"971","329","701","511","0"
"972","329","701","512","0"
"973","329","701","512","0"
"974","329","701","512","0"
"975","329","701","511","0"
"976","329","701","512","0"
"977","329","701","511","0"
"978","329","701","512","0"
"979","329","701","512","0"
"980","329","701","512","0"
"981","329","701","512","0"
"982","329","701","512","0"
"983","329","701","512","0"
"984","329","701","512","0"
"985","329","701","512","0"
"986","329","701","512","0"
"987","329","701","512","0"
"988","329","701","512","0"
"989","329","701","512","0"
"990","329","701","512","0"
"991","329","701","512","0"
"992","329","701","511","0"
"993","329","701","511","0"
"994","329","701","511","0"
"995","329","701","511","0"
"996","329","701","511","0"
"997","329","701","511","0"
"998","329","701","511","0"
"999","329","701","511","0"
"1000","329","701","511","0"
"1001","329","701","511","0"
"1002","329","701","511","0"
"1003","329","701","511","0"
"1004","329","701","511","0"
"1005","329","701","511","0"
"1006","329","701","511","0"
"1007","329","701","511","0"
"1008","329","701","511","0"
"1009","329","701","511","0"
"1010","329","701","511","0"
"1011","329","701","511","0"
"1012","329","701","511","0"
"1013","329","701","511","0"
"1014","329","701","511","0"
"1015","329","701","511","0"
"1016","329","701","511","0"
"1017","329","701","511","0"
"1018","329","701","511","0"
"1019","329","701","511","0"
"1020","329","701","511","0"
"1021","329","701","511","0"
"1022","329","701","511","0"
"1023","329","701","511","0"
"1024","329","701","511","0"
"1025","329","701","511","0"
"1026","329","701","511","0"
"1027","329","701","511","0"
"1028","329","701","511","0"
"1029","329","701","511","0"
"1030","329","701","511","0"
"1031","329","701","511","0"
"1032","329","701","511","0"
"1033","329","701","511","0"
"1034","329","701","511","0"
"1035","329","701","511","0"
"1036","329","701","511","0"
"1037","329","701","511","0"
"1038","329","701","511","0"
"1039","329","701","511","0"
"1040","329","701","511","0"
"1041","329","701","511","0"
"1042","329","701","511","0"
"1043","329","701","511","0"
"1044","329","701","511","0"
"1045","329","701","511","0"
"1046","329","701","511","0"
"1047","329","701","511","0"
"1048","329","701","511","0"
"1049","329","701","511","0"
"1050","329","701","511","0"
"1051","329","701","511","0"
"1052","329","701","511","0"
"1053","329","701","511","0"
"1054","329","701","511","0"
"1055","329","701","511","0"
"1056","329","701","511","0"
"1057","329","701","511","0"
"1058","329","701","511","0"
"1059","329","701","511","0"
"1060","329","701","511","0"
"1061","329","701","511","0"
"1062","329","701","511","0"
"1063","329","701","511","0"
"1064","329","701","511","0"
"1065","329","701","511","0"
"1066","329","701","511","0"
"1067","329","701","511","0"
"1068","329","701","511","0"
"1069","329","701","511","0"
"1070","329","701","511","0"
"1071","329","701","511","0"
"1072","329","701","511","0"
"1073","329","701","511","0"
"1074","329","701","511","0"
"1075","329","701","511","0"
"1076","329","701","511","0"
"1077","329","701","511","0"
"1078","329","701","511","0"
"1079","329","701","511","0"
"1080","329","701","511","0"
"1081","329","701","512","0"
"1082","329","701","512","0"
"1083","329","701","511","0"
"1084","329","701","511","0"
"1085","329","701","512","0"
"1086","329","701","512","0"
"1087","329","701","512","0"
"1088","329","701","512","0"
"1089","329","701","512","0"
"1090","329","701","512","0"
"1091","329","701","512","0"
"1092","329","701","512","0"
"1093","329","701","512","0"
"1094","329","701","512","0"
"1095","329","701","512","0"
"1096","329","701","512","0"
"1097","329","701","512","0"
"1098","329","701","512","0"
"1099","329","701","512","0"
"1100","329","701","512","0"
"1101","329","701","511","0"
"1102","329","701","511","0"
"1103","329","701","511","0"
"1104","329","701","511","0"
"1105","329","701","511","0"
"1106","329","701","511","0"
"1107","329","701","511","0"
"1108","329","701","511","0"
"1109","329","701","511","0"
"1110","329","701","511","0"
"1111","329","701","511","0"
"1112","329","701","511","0"
"1113","329","701","512","0"
"1114","329","701","512","0"
"1115","329","701","512","0"
"1116","329","701","512","0"
"1117","329","701","512","0"
"1118","329","701","512","0"
"1119","329","701","512","0"
"1120","329","701","511","0"
"1121","329","701","511","0"
"1122","329","701","511","0"
"1123","329","701","511","0"
